home,score,away,Tournament
Georgia ,1–2, Austria,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Serbia ,2–2, Republic of Ireland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Wales ,4–0, Moldova,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Austria ,2–2, Wales,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Moldova ,0–3, Serbia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Republic of Ireland ,1–0, Georgia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Wales ,1–1, Georgia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Moldova ,1–3, Republic of Ireland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Serbia ,3–2, Austria,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Austria ,0–1, Republic of Ireland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Georgia ,1–1, Moldova,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Wales ,1–1, Serbia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Georgia ,1–3, Serbia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Austria ,2–0, Moldova,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Republic of Ireland ,0–0, Wales,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Moldova ,2–2, Georgia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Republic of Ireland ,1–1, Austria,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Serbia ,1–1, Wales,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Georgia ,1–1, Republic of Ireland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Serbia ,3–0, Moldova,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Wales ,1–0, Austria,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Austria ,1–1, Georgia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Moldova ,0–2, Wales,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Republic of Ireland ,0–1, Serbia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Georgia ,0–1, Wales,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Austria ,3–2, Serbia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Republic of Ireland ,2–0, Moldova,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Moldova ,0–1, Austria,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Serbia ,1–0, Georgia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Wales ,0–1, Republic of Ireland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_D
Denmark ,1–0, Armenia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Kazakhstan ,2–2, Poland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Romania ,1–1, Montenegro,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Armenia ,0–5, Romania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Montenegro ,5–0, Kazakhstan,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Poland ,3–2, Denmark,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Kazakhstan ,0–0, Romania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Denmark ,0–1, Montenegro,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Poland ,2–1, Armenia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Armenia ,3–2, Montenegro,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Denmark ,4–1, Kazakhstan,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Romania ,0–3, Poland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Armenia ,2–0, Kazakhstan,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Montenegro ,1–2, Poland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Romania ,0–0, Denmark,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Kazakhstan ,1–3, Denmark,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Montenegro ,4–1, Armenia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Poland ,3–1, Romania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Kazakhstan ,0–3, Montenegro,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Denmark ,4–0, Poland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Romania ,1–0, Armenia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Armenia ,1–4, Denmark,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Montenegro ,1–0, Romania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Poland ,3–0, Kazakhstan,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Armenia ,1–6, Poland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Montenegro ,0–1, Denmark,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Romania ,3–1, Kazakhstan,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Denmark ,1–1, Romania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Kazakhstan ,1–1, Armenia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Poland ,4–2, Montenegro,2018_FIFA_World_Cup_qualification_–_UEFA_Group_E
Lithuania ,2–2, Slovenia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Slovakia ,0–1, England,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Malta ,1–5, Scotland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
England ,2–0, Malta,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Scotland ,1–1, Lithuania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Slovenia ,1–0, Slovakia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Lithuania ,2–0, Malta,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Slovakia ,3–0, Scotland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Slovenia ,0–0, England,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
England ,3–0, Scotland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Malta ,0–1, Slovenia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Slovakia ,4–0, Lithuania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
England ,2–0, Lithuania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Malta ,1–3, Slovakia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Scotland ,1–0, Slovenia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Scotland ,2–2, England,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Slovenia ,2–0, Malta,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Lithuania ,1–2, Slovakia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Lithuania ,0–3, Scotland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Malta ,0–4, England,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Slovakia ,1–0, Slovenia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
England ,2–1, Slovakia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Scotland ,2–0, Malta,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Slovenia ,4–0, Lithuania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
England ,1–0, Slovenia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Malta ,1–1, Lithuania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Scotland ,1–0, Slovakia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Lithuania ,0–1, England,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Slovakia ,3–0, Malta,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Slovenia ,2–2, Scotland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_F
Albania ,2–1[note 2], Macedonia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Israel ,1–3, Italy,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Spain ,8–0, Liechtenstein,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Italy ,1–1, Spain,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Liechtenstein ,0–2, Albania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Macedonia ,1–2, Israel,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Israel ,2–1, Liechtenstein,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Albania ,0–2, Spain,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Macedonia ,2–3, Italy,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Albania ,0–3, Israel,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Liechtenstein ,0–4, Italy,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Spain ,4–0, Macedonia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Italy ,2–0, Albania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Liechtenstein ,0–3, Macedonia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Spain ,4–1, Israel,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Israel ,0–3, Albania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Italy ,5–0, Liechtenstein,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Macedonia ,1–2, Spain,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Albania ,2–0, Liechtenstein,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Israel ,0–1, Macedonia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Spain ,3–0, Italy,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Italy ,1–0, Israel,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Liechtenstein ,0–8, Spain,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Macedonia ,1–1, Albania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Italy ,1–1, Macedonia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Liechtenstein ,0–1, Israel,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Spain ,3–0, Albania,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Albania ,0–1, Italy,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Israel ,0–1, Spain,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Macedonia ,4–0, Liechtenstein,2018_FIFA_World_Cup_qualification_–_UEFA_Group_G
Bosnia and Herzegovina ,5–0, Estonia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Cyprus ,0–3, Belgium,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Gibraltar ,1–4, Greece,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Belgium ,4–0, Bosnia and Herzegovina,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Estonia ,4–0, Gibraltar,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Greece ,2–0, Cyprus,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Bosnia and Herzegovina ,2–0, Cyprus,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Estonia ,0–2, Greece,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Gibraltar ,0–6, Belgium,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Cyprus ,3–1, Gibraltar,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Belgium ,8–1, Estonia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Greece ,1–1, Bosnia and Herzegovina,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Bosnia and Herzegovina ,5–0, Gibraltar,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Cyprus ,0–0, Estonia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Belgium ,1–1, Greece,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Bosnia and Herzegovina ,0–0, Greece,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Estonia ,0–2, Belgium,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Gibraltar ,1–2, Cyprus,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Belgium ,9–0, Gibraltar,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Cyprus ,3–2, Bosnia and Herzegovina,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Greece ,0–0, Estonia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Estonia ,1–0, Cyprus,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Greece ,1–2, Belgium,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Gibraltar ,0–4, Bosnia and Herzegovina,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Gibraltar ,0–6, Estonia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Bosnia and Herzegovina ,3–4, Belgium,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Cyprus ,1–2, Greece,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Belgium ,4–0, Cyprus,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Estonia ,1–2, Bosnia and Herzegovina,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Greece ,4–0, Gibraltar,2018_FIFA_World_Cup_qualification_–_UEFA_Group_H
Croatia ,1–1, Turkey,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Finland ,1–1, Kosovo,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Ukraine ,1–1, Iceland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Iceland ,3–2, Finland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Kosovo ,0–6, Croatia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Turkey ,2–2, Ukraine,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Finland ,0–1, Croatia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Ukraine ,3–0, Kosovo,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Iceland ,2–0, Turkey,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Croatia ,2–0, Iceland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Turkey ,2–0, Kosovo,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Ukraine ,1–0, Finland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Turkey ,2–0, Finland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Croatia ,1–0, Ukraine,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Kosovo ,1–2, Iceland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Finland ,1–2, Ukraine,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Iceland ,1–0, Croatia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Kosovo ,1–4, Turkey,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Finland ,1–0, Iceland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Croatia ,1–0[note 7], Kosovo,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Ukraine ,2–0, Turkey,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Iceland ,2–0, Ukraine,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Kosovo ,0–1, Finland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Turkey ,1–0, Croatia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Croatia ,1–1, Finland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Kosovo ,0–2, Ukraine,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Turkey ,0–3, Iceland,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Finland ,2–2, Turkey,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Iceland ,2–0, Kosovo,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Ukraine ,0–2, Croatia,2018_FIFA_World_Cup_qualification_–_UEFA_Group_I
Bulgaria ,1–1, Montenegro,UEFA_Euro_2020_qualifying_Group_A
England ,5–0, Czech Republic,UEFA_Euro_2020_qualifying_Group_A
Kosovo ,1–1, Bulgaria,UEFA_Euro_2020_qualifying_Group_A
Montenegro ,1–5, England,UEFA_Euro_2020_qualifying_Group_A
Czech Republic ,2–1, Bulgaria,UEFA_Euro_2020_qualifying_Group_A
Montenegro ,1–1, Kosovo,UEFA_Euro_2020_qualifying_Group_A
Bulgaria ,2–3, Kosovo,UEFA_Euro_2020_qualifying_Group_A
Czech Republic ,3–0, Montenegro,UEFA_Euro_2020_qualifying_Group_A
Kosovo ,2–1, Czech Republic,UEFA_Euro_2020_qualifying_Group_A
England ,4–0, Bulgaria,UEFA_Euro_2020_qualifying_Group_A
England ,5–3, Kosovo,UEFA_Euro_2020_qualifying_Group_A
Montenegro ,0–3, Czech Republic,UEFA_Euro_2020_qualifying_Group_A
Czech Republic ,2–1, England,UEFA_Euro_2020_qualifying_Group_A
Montenegro ,0–0, Bulgaria,UEFA_Euro_2020_qualifying_Group_A
Bulgaria ,0–6, England,UEFA_Euro_2020_qualifying_Group_A
Kosovo ,2–0, Montenegro,UEFA_Euro_2020_qualifying_Group_A
Czech Republic ,2–1, Kosovo,UEFA_Euro_2020_qualifying_Group_A
England ,7–0, Montenegro,UEFA_Euro_2020_qualifying_Group_A
Bulgaria ,1–0, Czech Republic,UEFA_Euro_2020_qualifying_Group_A
Kosovo ,0–4, England,UEFA_Euro_2020_qualifying_Group_A
Luxembourg ,2–1, Lithuania,UEFA_Euro_2020_qualifying_Group_B
Portugal ,0–0, Ukraine,UEFA_Euro_2020_qualifying_Group_B
Luxembourg ,1–2, Ukraine,UEFA_Euro_2020_qualifying_Group_B
Portugal ,1–1, Serbia,UEFA_Euro_2020_qualifying_Group_B
Lithuania ,1–1, Luxembourg,UEFA_Euro_2020_qualifying_Group_B
Ukraine ,5–0, Serbia,UEFA_Euro_2020_qualifying_Group_B
Serbia ,4–1, Lithuania,UEFA_Euro_2020_qualifying_Group_B
Ukraine ,1–0, Luxembourg,UEFA_Euro_2020_qualifying_Group_B
Lithuania ,0–3, Ukraine,UEFA_Euro_2020_qualifying_Group_B
Serbia ,2–4, Portugal,UEFA_Euro_2020_qualifying_Group_B
Lithuania ,1–5, Portugal,UEFA_Euro_2020_qualifying_Group_B
Luxembourg ,1–3, Serbia,UEFA_Euro_2020_qualifying_Group_B
Portugal ,3–0, Luxembourg,UEFA_Euro_2020_qualifying_Group_B
Ukraine ,2–0, Lithuania,UEFA_Euro_2020_qualifying_Group_B
Lithuania ,1–2, Serbia,UEFA_Euro_2020_qualifying_Group_B
Ukraine ,2–1, Portugal,UEFA_Euro_2020_qualifying_Group_B
Portugal ,6–0, Lithuania,UEFA_Euro_2020_qualifying_Group_B
Serbia ,3–2, Luxembourg,UEFA_Euro_2020_qualifying_Group_B
Luxembourg ,0–2, Portugal,UEFA_Euro_2020_qualifying_Group_B
Serbia ,2–2, Ukraine,UEFA_Euro_2020_qualifying_Group_B
Luxembourg ,2–1, Lithuania,UEFA_Euro_2020_qualifying_Group_B
Portugal ,0–0, Ukraine,UEFA_Euro_2020_qualifying_Group_B
Luxembourg ,1–2, Ukraine,UEFA_Euro_2020_qualifying_Group_B
Portugal ,1–1, Serbia,UEFA_Euro_2020_qualifying_Group_B
Lithuania ,1–1, Luxembourg,UEFA_Euro_2020_qualifying_Group_B
Ukraine ,5–0, Serbia,UEFA_Euro_2020_qualifying_Group_B
Serbia ,4–1, Lithuania,UEFA_Euro_2020_qualifying_Group_B
Ukraine ,1–0, Luxembourg,UEFA_Euro_2020_qualifying_Group_B
Lithuania ,0–3, Ukraine,UEFA_Euro_2020_qualifying_Group_B
Serbia ,2–4, Portugal,UEFA_Euro_2020_qualifying_Group_B
Lithuania ,1–5, Portugal,UEFA_Euro_2020_qualifying_Group_B
Luxembourg ,1–3, Serbia,UEFA_Euro_2020_qualifying_Group_B
Portugal ,3–0, Luxembourg,UEFA_Euro_2020_qualifying_Group_B
Ukraine ,2–0, Lithuania,UEFA_Euro_2020_qualifying_Group_B
Lithuania ,1–2, Serbia,UEFA_Euro_2020_qualifying_Group_B
Ukraine ,2–1, Portugal,UEFA_Euro_2020_qualifying_Group_B
Portugal ,6–0, Lithuania,UEFA_Euro_2020_qualifying_Group_B
Serbia ,3–2, Luxembourg,UEFA_Euro_2020_qualifying_Group_B
Luxembourg ,0–2, Portugal,UEFA_Euro_2020_qualifying_Group_B
Serbia ,2–2, Ukraine,UEFA_Euro_2020_qualifying_Group_B
Georgia ,0–2,  Switzerland,UEFA_Euro_2020_qualifying_Group_D
Gibraltar ,0–1, Republic of Ireland,UEFA_Euro_2020_qualifying_Group_D
Republic of Ireland ,1–0, Georgia,UEFA_Euro_2020_qualifying_Group_D
Switzerland ,3–3, Denmark,UEFA_Euro_2020_qualifying_Group_D
Georgia ,3–0, Gibraltar,UEFA_Euro_2020_qualifying_Group_D
Denmark ,1–1, Republic of Ireland,UEFA_Euro_2020_qualifying_Group_D
Denmark ,5–1, Georgia,UEFA_Euro_2020_qualifying_Group_D
Republic of Ireland ,2–0, Gibraltar,UEFA_Euro_2020_qualifying_Group_D
Gibraltar ,0–6, Denmark,UEFA_Euro_2020_qualifying_Group_D
Republic of Ireland ,1–1,  Switzerland,UEFA_Euro_2020_qualifying_Group_D
Georgia ,0–0, Denmark,UEFA_Euro_2020_qualifying_Group_D
Switzerland ,4–0, Gibraltar,UEFA_Euro_2020_qualifying_Group_D
Georgia ,0–0, Republic of Ireland,UEFA_Euro_2020_qualifying_Group_D
Denmark ,1–0,  Switzerland,UEFA_Euro_2020_qualifying_Group_D
Gibraltar ,2–3, Georgia,UEFA_Euro_2020_qualifying_Group_D
Switzerland ,2–0, Republic of Ireland,UEFA_Euro_2020_qualifying_Group_D
Denmark ,6–0, Gibraltar,UEFA_Euro_2020_qualifying_Group_D
Switzerland ,1–0, Georgia,UEFA_Euro_2020_qualifying_Group_D
Gibraltar ,1–6,  Switzerland,UEFA_Euro_2020_qualifying_Group_D
Republic of Ireland ,1–1, Denmark,UEFA_Euro_2020_qualifying_Group_D
Croatia ,2–1, Azerbaijan,UEFA_Euro_2020_qualifying_Group_E
Slovakia ,2–0, Hungary,UEFA_Euro_2020_qualifying_Group_E
Wales ,1–0, Slovakia,UEFA_Euro_2020_qualifying_Group_E
Hungary ,2–1, Croatia,UEFA_Euro_2020_qualifying_Group_E
Croatia ,2–1, Wales,UEFA_Euro_2020_qualifying_Group_E
Azerbaijan ,1–3, Hungary,UEFA_Euro_2020_qualifying_Group_E
Azerbaijan ,1–5, Slovakia,UEFA_Euro_2020_qualifying_Group_E
Hungary ,1–0, Wales,UEFA_Euro_2020_qualifying_Group_E
Slovakia ,0–4, Croatia,UEFA_Euro_2020_qualifying_Group_E
Wales ,2–1, Azerbaijan,UEFA_Euro_2020_qualifying_Group_E
Azerbaijan ,1–1, Croatia,UEFA_Euro_2020_qualifying_Group_E
Hungary ,1–2, Slovakia,UEFA_Euro_2020_qualifying_Group_E
Croatia ,3–0, Hungary,UEFA_Euro_2020_qualifying_Group_E
Slovakia ,1–1, Wales,UEFA_Euro_2020_qualifying_Group_E
Hungary ,1–0, Azerbaijan,UEFA_Euro_2020_qualifying_Group_E
Wales ,1–1, Croatia,UEFA_Euro_2020_qualifying_Group_E
Azerbaijan ,0–2, Wales,UEFA_Euro_2020_qualifying_Group_E
Croatia ,3–1, Slovakia,UEFA_Euro_2020_qualifying_Group_E
Slovakia ,2–0, Azerbaijan,UEFA_Euro_2020_qualifying_Group_E
Wales ,2–0, Hungary,UEFA_Euro_2020_qualifying_Group_E
Malta ,2–1, Faroe Islands,UEFA_Euro_2020_qualifying_Group_F
Sweden ,2–1, Romania,UEFA_Euro_2020_qualifying_Group_F
Spain ,2–1, Norway,UEFA_Euro_2020_qualifying_Group_F
Malta ,0–2, Spain,UEFA_Euro_2020_qualifying_Group_F
Norway ,3–3, Sweden,UEFA_Euro_2020_qualifying_Group_F
Romania ,4–1, Faroe Islands,UEFA_Euro_2020_qualifying_Group_F
Faroe Islands ,1–4, Spain,UEFA_Euro_2020_qualifying_Group_F
Norway ,2–2, Romania,UEFA_Euro_2020_qualifying_Group_F
Sweden ,3–0, Malta,UEFA_Euro_2020_qualifying_Group_F
Faroe Islands ,0–2, Norway,UEFA_Euro_2020_qualifying_Group_F
Malta ,0–4, Romania,UEFA_Euro_2020_qualifying_Group_F
Spain ,3–0, Sweden,UEFA_Euro_2020_qualifying_Group_F
Faroe Islands ,0–4, Sweden,UEFA_Euro_2020_qualifying_Group_F
Norway ,2–0, Malta,UEFA_Euro_2020_qualifying_Group_F
Romania ,1–2, Spain,UEFA_Euro_2020_qualifying_Group_F
Romania ,1–0, Malta,UEFA_Euro_2020_qualifying_Group_F
Spain ,4–0, Faroe Islands,UEFA_Euro_2020_qualifying_Group_F
Sweden ,1–1, Norway,UEFA_Euro_2020_qualifying_Group_F
Faroe Islands ,0–3, Romania,UEFA_Euro_2020_qualifying_Group_F
Malta ,0–4, Sweden,UEFA_Euro_2020_qualifying_Group_F
Norway ,1–1, Spain,UEFA_Euro_2020_qualifying_Group_F
Faroe Islands ,1–0, Malta,UEFA_Euro_2020_qualifying_Group_F
Romania ,1–1, Norway,UEFA_Euro_2020_qualifying_Group_F
Sweden ,1–1, Spain,UEFA_Euro_2020_qualifying_Group_F
Norway ,4–0, Faroe Islands,UEFA_Euro_2020_qualifying_Group_F
Romania ,0–2, Sweden,UEFA_Euro_2020_qualifying_Group_F
Spain ,7–0, Malta,UEFA_Euro_2020_qualifying_Group_F
Malta ,1–2, Norway,UEFA_Euro_2020_qualifying_Group_F
Spain ,5–0, Romania,UEFA_Euro_2020_qualifying_Group_F
Sweden ,3–0, Faroe Islands,UEFA_Euro_2020_qualifying_Group_F
Austria ,0–1, Poland,UEFA_Euro_2020_qualifying_Group_G
North Macedonia ,3–1, Latvia,UEFA_Euro_2020_qualifying_Group_G
Israel ,1–1, Slovenia,UEFA_Euro_2020_qualifying_Group_G
Israel ,4–2, Austria,UEFA_Euro_2020_qualifying_Group_G
Poland ,2–0, Latvia,UEFA_Euro_2020_qualifying_Group_G
Slovenia ,1–1, North Macedonia,UEFA_Euro_2020_qualifying_Group_G
Austria ,1–0, Slovenia,UEFA_Euro_2020_qualifying_Group_G
North Macedonia ,0–1, Poland,UEFA_Euro_2020_qualifying_Group_G
Latvia ,0–3, Israel,UEFA_Euro_2020_qualifying_Group_G
North Macedonia ,1–4, Austria,UEFA_Euro_2020_qualifying_Group_G
Latvia ,0–5, Slovenia,UEFA_Euro_2020_qualifying_Group_G
Poland ,4–0, Israel,UEFA_Euro_2020_qualifying_Group_G
Israel ,1–1, North Macedonia,UEFA_Euro_2020_qualifying_Group_G
Austria ,6–0, Latvia,UEFA_Euro_2020_qualifying_Group_G
Slovenia ,2–0, Poland,UEFA_Euro_2020_qualifying_Group_G
Latvia ,0–2, North Macedonia,UEFA_Euro_2020_qualifying_Group_G
Poland ,0–0, Austria,UEFA_Euro_2020_qualifying_Group_G
Slovenia ,3–2, Israel,UEFA_Euro_2020_qualifying_Group_G
Austria ,3–1, Israel,UEFA_Euro_2020_qualifying_Group_G
North Macedonia ,2–1, Slovenia,UEFA_Euro_2020_qualifying_Group_G
