home,away,Tournament,HomeGoals,AwayGoals,TotalGoals
Switzerland,Georgia,UEFA_Euro_2020_qualifying_Group_D,1,0,1
Gibraltar,Switzerland,UEFA_Euro_2020_qualifying_Group_D,1,6,7
Republic of Ireland,Denmark,UEFA_Euro_2020_qualifying_Group_D,1,1,2
Denmark,Gibraltar,UEFA_Euro_2020_qualifying_Group_D,6,0,6
Georgia,Denmark,UEFA_Euro_2020_qualifying_Group_D,0,0,0
Switzerland,Gibraltar,UEFA_Euro_2020_qualifying_Group_D,4,0,4
Republic of Ireland,Switzerland,UEFA_Euro_2020_qualifying_Group_D,1,1,2
Gibraltar,Republic of Ireland,UEFA_Euro_2020_qualifying_Group_D,0,1,1
Republic of Ireland,Georgia,UEFA_Euro_2020_qualifying_Group_D,1,0,1
Switzerland,Denmark,UEFA_Euro_2020_qualifying_Group_D,3,3,6
Georgia,Gibraltar,UEFA_Euro_2020_qualifying_Group_D,3,0,3
Georgia,Switzerland,UEFA_Euro_2020_qualifying_Group_D,0,2,2
Denmark,Georgia,UEFA_Euro_2020_qualifying_Group_D,5,1,6
Republic of Ireland,Gibraltar,UEFA_Euro_2020_qualifying_Group_D,2,0,2
Gibraltar,Denmark,UEFA_Euro_2020_qualifying_Group_D,0,6,6
Denmark,Republic of Ireland,UEFA_Euro_2020_qualifying_Group_D,1,1,2
Hungary,Slovakia,UEFA_Euro_2020_qualifying_Group_E,1,2,3
Wales,Hungary,UEFA_Euro_2020_qualifying_Group_E,2,0,2
Slovakia,Azerbaijan,UEFA_Euro_2020_qualifying_Group_E,2,0,2
Croatia,Slovakia,UEFA_Euro_2020_qualifying_Group_E,3,1,4
Azerbaijan,Wales,UEFA_Euro_2020_qualifying_Group_E,0,2,2
Wales,Croatia,UEFA_Euro_2020_qualifying_Group_E,1,1,2
Hungary,Azerbaijan,UEFA_Euro_2020_qualifying_Group_E,1,0,1
Croatia,Hungary,UEFA_Euro_2020_qualifying_Group_E,3,0,3
Azerbaijan,Croatia,UEFA_Euro_2020_qualifying_Group_E,1,1,2
Slovakia,Wales,UEFA_Euro_2020_qualifying_Group_E,1,1,2
Slovakia,Croatia,UEFA_Euro_2020_qualifying_Group_E,0,4,4
Hungary,Wales,UEFA_Euro_2020_qualifying_Group_E,1,0,1
Azerbaijan,Slovakia,UEFA_Euro_2020_qualifying_Group_E,1,5,6
Azerbaijan,Hungary,UEFA_Euro_2020_qualifying_Group_E,1,3,4
Croatia,Wales,UEFA_Euro_2020_qualifying_Group_E,2,1,3
Hungary,Croatia,UEFA_Euro_2020_qualifying_Group_E,2,1,3
Wales,Slovakia,UEFA_Euro_2020_qualifying_Group_E,1,0,1
Slovakia,Hungary,UEFA_Euro_2020_qualifying_Group_E,2,0,2
Croatia,Azerbaijan,UEFA_Euro_2020_qualifying_Group_E,2,1,3
Wales,Azerbaijan,UEFA_Euro_2020_qualifying_Group_E,2,1,3
Sweden,Norway,UEFA_Euro_2020_qualifying_Group_F,1,1,2
Faroe Islands,Romania,UEFA_Euro_2020_qualifying_Group_F,0,3,3
Malta,Sweden,UEFA_Euro_2020_qualifying_Group_F,0,4,4
Norway,Spain,UEFA_Euro_2020_qualifying_Group_F,1,1,2
Faroe Islands,Malta,UEFA_Euro_2020_qualifying_Group_F,1,0,1
Romania,Norway,UEFA_Euro_2020_qualifying_Group_F,1,1,2
Malta,Norway,UEFA_Euro_2020_qualifying_Group_F,1,2,3
Norway,Faroe Islands,UEFA_Euro_2020_qualifying_Group_F,4,0,4
Romania,Sweden,UEFA_Euro_2020_qualifying_Group_F,0,2,2
Spain,Malta,UEFA_Euro_2020_qualifying_Group_F,7,0,7
Spain,Romania,UEFA_Euro_2020_qualifying_Group_F,5,0,5
Sweden,Faroe Islands,UEFA_Euro_2020_qualifying_Group_F,3,0,3
Spain,Faroe Islands,UEFA_Euro_2020_qualifying_Group_F,4,0,4
Sweden,Spain,UEFA_Euro_2020_qualifying_Group_F,1,1,2
Romania,Malta,UEFA_Euro_2020_qualifying_Group_F,1,0,1
Norway,Romania,UEFA_Euro_2020_qualifying_Group_F,2,2,4
Norway,Malta,UEFA_Euro_2020_qualifying_Group_F,2,0,2
Romania,Spain,UEFA_Euro_2020_qualifying_Group_F,1,2,3
Sweden,Romania,UEFA_Euro_2020_qualifying_Group_F,2,1,3
Spain,Norway,UEFA_Euro_2020_qualifying_Group_F,2,1,3
Malta,Spain,UEFA_Euro_2020_qualifying_Group_F,0,2,2
Malta,Faroe Islands,UEFA_Euro_2020_qualifying_Group_F,2,1,3
Romania,Faroe Islands,UEFA_Euro_2020_qualifying_Group_F,4,1,5
Norway,Sweden,UEFA_Euro_2020_qualifying_Group_F,3,3,6
Sweden,Malta,UEFA_Euro_2020_qualifying_Group_F,3,0,3
Faroe Islands,Norway,UEFA_Euro_2020_qualifying_Group_F,0,2,2
Malta,Romania,UEFA_Euro_2020_qualifying_Group_F,0,4,4
Spain,Sweden,UEFA_Euro_2020_qualifying_Group_F,3,0,3
Faroe Islands,Sweden,UEFA_Euro_2020_qualifying_Group_F,0,4,4
Faroe Islands,Spain,UEFA_Euro_2020_qualifying_Group_F,1,4,5
Latvia,Austria,UEFA_Euro_2020_qualifying_Group_G,1,0,1
North Macedonia,Israel,UEFA_Euro_2020_qualifying_Group_G,1,0,1
Israel,Poland,UEFA_Euro_2020_qualifying_Group_G,1,2,3
Austria,North Macedonia,UEFA_Euro_2020_qualifying_Group_G,2,1,3
Slovenia,Latvia,UEFA_Euro_2020_qualifying_Group_G,1,0,1
Israel,Latvia,UEFA_Euro_2020_qualifying_Group_G,3,1,4
Slovenia,Israel,UEFA_Euro_2020_qualifying_Group_G,3,2,5
Poland,North Macedonia,UEFA_Euro_2020_qualifying_Group_G,2,0,2
Latvia,Poland,UEFA_Euro_2020_qualifying_Group_G,0,3,3
North Macedonia,Slovenia,UEFA_Euro_2020_qualifying_Group_G,2,1,3
Austria,Israel,UEFA_Euro_2020_qualifying_Group_G,3,1,4
Poland,Slovenia,UEFA_Euro_2020_qualifying_Group_G,3,2,5
Slovenia,Austria,UEFA_Euro_2020_qualifying_Group_G,0,1,1
Slovenia,Poland,UEFA_Euro_2020_qualifying_Group_G,2,0,2
Poland,Austria,UEFA_Euro_2020_qualifying_Group_G,0,0,0
Israel,North Macedonia,UEFA_Euro_2020_qualifying_Group_G,1,1,2
Poland,Israel,UEFA_Euro_2020_qualifying_Group_G,4,0,4
Latvia,Slovenia,UEFA_Euro_2020_qualifying_Group_G,0,5,5
North Macedonia,Austria,UEFA_Euro_2020_qualifying_Group_G,1,4,5
Latvia,Israel,UEFA_Euro_2020_qualifying_Group_G,0,3,3
North Macedonia,Poland,UEFA_Euro_2020_qualifying_Group_G,0,1,1
Austria,Slovenia,UEFA_Euro_2020_qualifying_Group_G,1,0,1
Slovenia,North Macedonia,UEFA_Euro_2020_qualifying_Group_G,1,1,2
Poland,Latvia,UEFA_Euro_2020_qualifying_Group_G,2,0,2
Israel,Austria,UEFA_Euro_2020_qualifying_Group_G,4,2,6
Israel,Slovenia,UEFA_Euro_2020_qualifying_Group_G,1,1,2
North Macedonia,Latvia,UEFA_Euro_2020_qualifying_Group_G,3,1,4
Austria,Poland,UEFA_Euro_2020_qualifying_Group_G,0,1,1
Austria,Latvia,UEFA_Euro_2020_qualifying_Group_G,6,0,6
Latvia,North Macedonia,UEFA_Euro_2020_qualifying_Group_G,0,2,2
Andorra,France,UEFA_Euro_2020_qualifying_Group_H,0,4,4
Andorra,Iceland,UEFA_Euro_2020_qualifying_Group_H,0,2,2
Albania,Turkey,UEFA_Euro_2020_qualifying_Group_H,0,2,2
Moldova,Iceland,UEFA_Euro_2020_qualifying_Group_H,1,2,3
Andorra,Turkey,UEFA_Euro_2020_qualifying_Group_H,0,2,2
Albania,France,UEFA_Euro_2020_qualifying_Group_H,0,2,2
France,Moldova,UEFA_Euro_2020_qualifying_Group_H,2,1,3
Albania,Andorra,UEFA_Euro_2020_qualifying_Group_H,2,2,4
Turkey,Iceland,UEFA_Euro_2020_qualifying_Group_H,0,0,0
Moldova,Albania,UEFA_Euro_2020_qualifying_Group_H,0,4,4
France,Turkey,UEFA_Euro_2020_qualifying_Group_H,1,1,2
Turkey,Albania,UEFA_Euro_2020_qualifying_Group_H,1,0,1
Iceland,France,UEFA_Euro_2020_qualifying_Group_H,0,1,1
Andorra,Moldova,UEFA_Euro_2020_qualifying_Group_H,1,0,1
Moldova,Turkey,UEFA_Euro_2020_qualifying_Group_H,0,4,4
Iceland,Andorra,UEFA_Euro_2020_qualifying_Group_H,2,0,2
Albania,Iceland,UEFA_Euro_2020_qualifying_Group_H,4,2,6
France,Andorra,UEFA_Euro_2020_qualifying_Group_H,3,0,3
Turkey,Moldova,UEFA_Euro_2020_qualifying_Group_H,4,0,4
Andorra,Albania,UEFA_Euro_2020_qualifying_Group_H,0,3,3
France,Iceland,UEFA_Euro_2020_qualifying_Group_H,4,0,4
Iceland,Albania,UEFA_Euro_2020_qualifying_Group_H,1,0,1
Moldova,Andorra,UEFA_Euro_2020_qualifying_Group_H,1,0,1
Moldova,France,UEFA_Euro_2020_qualifying_Group_H,1,4,5
Albania,Moldova,UEFA_Euro_2020_qualifying_Group_H,2,0,2
Iceland,Turkey,UEFA_Euro_2020_qualifying_Group_H,2,1,3
Iceland,Moldova,UEFA_Euro_2020_qualifying_Group_H,3,0,3
France,Albania,UEFA_Euro_2020_qualifying_Group_H,4,1,5
Turkey,Andorra,UEFA_Euro_2020_qualifying_Group_H,1,0,1
Turkey,France,UEFA_Euro_2020_qualifying_Group_H,2,0,2
Belgium,San Marino,UEFA_Euro_2020_qualifying_Group_I,9,0,9
Russia,Scotland,UEFA_Euro_2020_qualifying_Group_I,4,0,4
Kazakhstan,Belgium,UEFA_Euro_2020_qualifying_Group_I,0,2,2
Cyprus,Russia,UEFA_Euro_2020_qualifying_Group_I,0,5,5
Scotland,San Marino,UEFA_Euro_2020_qualifying_Group_I,6,0,6
San Marino,Kazakhstan,UEFA_Euro_2020_qualifying_Group_I,1,3,4
Russia,Belgium,UEFA_Euro_2020_qualifying_Group_I,1,4,5
Belgium,Cyprus,UEFA_Euro_2020_qualifying_Group_I,6,1,7
San Marino,Russia,UEFA_Euro_2020_qualifying_Group_I,0,5,5
Scotland,Kazakhstan,UEFA_Euro_2020_qualifying_Group_I,3,1,4
Kazakhstan,Cyprus,UEFA_Euro_2020_qualifying_Group_I,1,2,3
Cyprus,Scotland,UEFA_Euro_2020_qualifying_Group_I,1,2,3
Scotland,Belgium,UEFA_Euro_2020_qualifying_Group_I,0,4,4
San Marino,Cyprus,UEFA_Euro_2020_qualifying_Group_I,0,4,4
Cyprus,Belgium,UEFA_Euro_2020_qualifying_Group_I,0,2,2
Russia,Kazakhstan,UEFA_Euro_2020_qualifying_Group_I,1,0,1
Belgium,Russia,UEFA_Euro_2020_qualifying_Group_I,3,1,4
Kazakhstan,Russia,UEFA_Euro_2020_qualifying_Group_I,0,4,4
San Marino,Scotland,UEFA_Euro_2020_qualifying_Group_I,0,2,2
Cyprus,San Marino,UEFA_Euro_2020_qualifying_Group_I,5,0,5
Russia,San Marino,UEFA_Euro_2020_qualifying_Group_I,9,0,9
Kazakhstan,Scotland,UEFA_Euro_2020_qualifying_Group_I,3,0,3
Belgium,Kazakhstan,UEFA_Euro_2020_qualifying_Group_I,3,0,3
Kazakhstan,San Marino,UEFA_Euro_2020_qualifying_Group_I,4,0,4
Belgium,Scotland,UEFA_Euro_2020_qualifying_Group_I,3,0,3
Russia,Cyprus,UEFA_Euro_2020_qualifying_Group_I,1,0,1
Cyprus,Kazakhstan,UEFA_Euro_2020_qualifying_Group_I,1,1,2
San Marino,Belgium,UEFA_Euro_2020_qualifying_Group_I,0,4,4
Scotland,Russia,UEFA_Euro_2020_qualifying_Group_I,1,2,3
Scotland,Cyprus,UEFA_Euro_2020_qualifying_Group_I,2,1,3
Liechtenstein,Armenia,UEFA_Euro_2020_qualifying_Group_J,1,1,2
Greece,Liechtenstein,UEFA_Euro_2020_qualifying_Group_J,1,1,2
Bosnia and Herzegovina,Finland,UEFA_Euro_2020_qualifying_Group_J,4,1,5
Finland,Armenia,UEFA_Euro_2020_qualifying_Group_J,3,0,3
Italy,Greece,UEFA_Euro_2020_qualifying_Group_J,2,0,2
Greece,Bosnia and Herzegovina,UEFA_Euro_2020_qualifying_Group_J,2,1,3
Liechtenstein,Bosnia and Herzegovina,UEFA_Euro_2020_qualifying_Group_J,0,3,3
Armenia,Greece,UEFA_Euro_2020_qualifying_Group_J,0,1,1
Finland,Liechtenstein,UEFA_Euro_2020_qualifying_Group_J,3,0,3
Bosnia and Herzegovina,Italy,UEFA_Euro_2020_qualifying_Group_J,0,3,3
Greece,Finland,UEFA_Euro_2020_qualifying_Group_J,2,1,3
Italy,Armenia,UEFA_Euro_2020_qualifying_Group_J,9,1,10
Liechtenstein,Italy,UEFA_Euro_2020_qualifying_Group_J,0,5,5
Finland,Italy,UEFA_Euro_2020_qualifying_Group_J,1,2,3
Bosnia and Herzegovina,Liechtenstein,UEFA_Euro_2020_qualifying_Group_J,5,0,5
Finland,Greece,UEFA_Euro_2020_qualifying_Group_J,1,0,1
Armenia,Bosnia and Herzegovina,UEFA_Euro_2020_qualifying_Group_J,4,2,6
Bosnia and Herzegovina,Armenia,UEFA_Euro_2020_qualifying_Group_J,2,1,3
Italy,Finland,UEFA_Euro_2020_qualifying_Group_J,2,0,2
Liechtenstein,Greece,UEFA_Euro_2020_qualifying_Group_J,0,2,2
Armenia,Finland,UEFA_Euro_2020_qualifying_Group_J,0,2,2
Bosnia and Herzegovina,Greece,UEFA_Euro_2020_qualifying_Group_J,2,2,4
Italy,Liechtenstein,UEFA_Euro_2020_qualifying_Group_J,6,0,6
Finland,Bosnia and Herzegovina,UEFA_Euro_2020_qualifying_Group_J,2,0,2
Greece,Italy,UEFA_Euro_2020_qualifying_Group_J,0,3,3
Greece,Armenia,UEFA_Euro_2020_qualifying_Group_J,2,3,5
Italy,Bosnia and Herzegovina,UEFA_Euro_2020_qualifying_Group_J,2,1,3
Liechtenstein,Finland,UEFA_Euro_2020_qualifying_Group_J,0,2,2
Armenia,Liechtenstein,UEFA_Euro_2020_qualifying_Group_J,3,0,3
Armenia,Italy,UEFA_Euro_2020_qualifying_Group_J,1,3,4
Romania,Ukraine,UEFA_Euro_2024,3,0,3
Belgium,Slovakia,UEFA_Euro_2024,0,1,1
Turkey,Georgia,UEFA_Euro_2024,3,1,4
Austria,France,UEFA_Euro_2024,0,1,1
Hungary,Switzerland,UEFA_Euro_2024,1,3,4
Spain,Croatia,UEFA_Euro_2024,3,0,3
Italy,Albania,UEFA_Euro_2024,2,1,3
Slovenia,Denmark,UEFA_Euro_2024,1,1,2
Poland,Netherlands,UEFA_Euro_2024,1,2,3
Serbia,England,UEFA_Euro_2024,0,1,1
Germany,Scotland,UEFA_Euro_2024,5,1,6
Spain,Georgia,UEFA_Euro_2024_qualifying_Group_A,3,1,4
Scotland,Norway,UEFA_Euro_2024_qualifying_Group_A,3,3,6
Cyprus,Spain,UEFA_Euro_2024_qualifying_Group_A,1,3,4
Georgia,Scotland,UEFA_Euro_2024_qualifying_Group_A,2,2,4
Norway,Spain,UEFA_Euro_2024_qualifying_Group_A,0,1,1
Georgia,Cyprus,UEFA_Euro_2024_qualifying_Group_A,4,0,4
Spain,Scotland,UEFA_Euro_2024_qualifying_Group_A,2,0,2
Spain,Cyprus,UEFA_Euro_2024_qualifying_Group_A,6,0,6
Norway,Georgia,UEFA_Euro_2024_qualifying_Group_A,2,1,3
Cyprus,Norway,UEFA_Euro_2024_qualifying_Group_A,0,4,4
Georgia,Spain,UEFA_Euro_2024_qualifying_Group_A,1,7,8
Scotland,Cyprus,UEFA_Euro_2024_qualifying_Group_A,3,0,3
Scotland,Georgia,UEFA_Euro_2024_qualifying_Group_A,2,0,2
Norway,Cyprus,UEFA_Euro_2024_qualifying_Group_A,3,1,4
Cyprus,Georgia,UEFA_Euro_2024_qualifying_Group_A,1,2,3
Norway,Scotland,UEFA_Euro_2024_qualifying_Group_A,1,2,3
Scotland,Spain,UEFA_Euro_2024_qualifying_Group_A,2,0,2
Georgia,Norway,UEFA_Euro_2024_qualifying_Group_A,1,1,2
Spain,Norway,UEFA_Euro_2024_qualifying_Group_A,3,0,3
Cyprus,Scotland,UEFA_Euro_2024_qualifying_Group_A,0,3,3
Republic of Ireland,Greece,UEFA_Euro_2024_qualifying_Group_B,0,2,2
Gibraltar,Republic of Ireland,UEFA_Euro_2024_qualifying_Group_B,0,4,4
Greece,Netherlands,UEFA_Euro_2024_qualifying_Group_B,0,1,1
Greece,France,UEFA_Euro_2024_qualifying_Group_B,2,2,4
Netherlands,Republic of Ireland,UEFA_Euro_2024_qualifying_Group_B,1,0,1
Gibraltar,Netherlands,UEFA_Euro_2024_qualifying_Group_B,0,6,6
Netherlands,France,UEFA_Euro_2024_qualifying_Group_B,1,2,3
France,Gibraltar,UEFA_Euro_2024_qualifying_Group_B,14,0,14
Republic of Ireland,Netherlands,UEFA_Euro_2024_qualifying_Group_B,1,2,3
Republic of Ireland,Gibraltar,UEFA_Euro_2024_qualifying_Group_B,3,0,3
Netherlands,Greece,UEFA_Euro_2024_qualifying_Group_B,3,0,3
Greece,Gibraltar,UEFA_Euro_2024_qualifying_Group_B,5,0,5
France,Netherlands,UEFA_Euro_2024_qualifying_Group_B,4,0,4
Gibraltar,Greece,UEFA_Euro_2024_qualifying_Group_B,0,3,3
Netherlands,Gibraltar,UEFA_Euro_2024_qualifying_Group_B,3,0,3
Republic of Ireland,France,UEFA_Euro_2024_qualifying_Group_B,0,1,1
Gibraltar,France,UEFA_Euro_2024_qualifying_Group_B,0,3,3
Greece,Republic of Ireland,UEFA_Euro_2024_qualifying_Group_B,2,1,3
France,Greece,UEFA_Euro_2024_qualifying_Group_B,1,0,1
France,Republic of Ireland,UEFA_Euro_2024_qualifying_Group_B,2,0,2
North Macedonia,England,UEFA_Euro_2024_qualifying_Group_C,1,1,2
Italy,North Macedonia,UEFA_Euro_2024_qualifying_Group_C,5,2,7
England,Malta,UEFA_Euro_2024_qualifying_Group_C,2,0,2
Malta,Ukraine,UEFA_Euro_2024_qualifying_Group_C,1,3,4
Italy,Malta,UEFA_Euro_2024_qualifying_Group_C,4,0,4
Ukraine,North Macedonia,UEFA_Euro_2024_qualifying_Group_C,2,0,2
Malta,North Macedonia,UEFA_Euro_2024_qualifying_Group_C,0,2,2
Italy,Ukraine,UEFA_Euro_2024_qualifying_Group_C,2,1,3
Ukraine,England,UEFA_Euro_2024_qualifying_Group_C,1,1,2
Ukraine,Italy,UEFA_Euro_2024_qualifying_Group_C,0,0,0
England,North Macedonia,UEFA_Euro_2024_qualifying_Group_C,7,0,7
Ukraine,Malta,UEFA_Euro_2024_qualifying_Group_C,1,0,1
Malta,England,UEFA_Euro_2024_qualifying_Group_C,0,4,4
Malta,Italy,UEFA_Euro_2024_qualifying_Group_C,0,2,2
England,Ukraine,UEFA_Euro_2024_qualifying_Group_C,2,0,2
North Macedonia,Malta,UEFA_Euro_2024_qualifying_Group_C,2,1,3
Italy,England,UEFA_Euro_2024_qualifying_Group_C,1,2,3
North Macedonia,Italy,UEFA_Euro_2024_qualifying_Group_C,1,1,2
North Macedonia,Ukraine,UEFA_Euro_2024_qualifying_Group_C,2,3,5
England,Italy,UEFA_Euro_2024_qualifying_Group_C,3,1,4
Croatia,Turkey,UEFA_Euro_2024_qualifying_Group_D,0,1,1
Wales,Turkey,UEFA_Euro_2024_qualifying_Group_D,1,1,2
Croatia,Armenia,UEFA_Euro_2024_qualifying_Group_D,1,0,1
Latvia,Croatia,UEFA_Euro_2024_qualifying_Group_D,0,2,2
Armenia,Wales,UEFA_Euro_2024_qualifying_Group_D,1,1,2
Wales,Croatia,UEFA_Euro_2024_qualifying_Group_D,2,1,3
Turkey,Latvia,UEFA_Euro_2024_qualifying_Group_D,4,0,4
Latvia,Armenia,UEFA_Euro_2024_qualifying_Group_D,2,0,2
Latvia,Wales,UEFA_Euro_2024_qualifying_Group_D,0,2,2
Turkey,Armenia,UEFA_Euro_2024_qualifying_Group_D,1,1,2
Armenia,Croatia,UEFA_Euro_2024_qualifying_Group_D,0,1,1
Turkey,Wales,UEFA_Euro_2024_qualifying_Group_D,2,0,2
Armenia,Latvia,UEFA_Euro_2024_qualifying_Group_D,2,1,3
Wales,Armenia,UEFA_Euro_2024_qualifying_Group_D,2,4,6
Latvia,Turkey,UEFA_Euro_2024_qualifying_Group_D,2,3,5
Wales,Latvia,UEFA_Euro_2024_qualifying_Group_D,1,0,1
Turkey,Croatia,UEFA_Euro_2024_qualifying_Group_D,0,2,2
Croatia,Wales,UEFA_Euro_2024_qualifying_Group_D,1,1,2
Armenia,Turkey,UEFA_Euro_2024_qualifying_Group_D,1,2,3
Croatia,Latvia,UEFA_Euro_2024_qualifying_Group_D,5,0,5
Poland,Moldova,UEFA_Euro_2024_qualifying_Group_E,1,1,2
Faroe Islands,Poland,UEFA_Euro_2024_qualifying_Group_E,0,2,2
Czech Republic,Faroe Islands,UEFA_Euro_2024_qualifying_Group_E,1,0,1
Moldova,Albania,UEFA_Euro_2024_qualifying_Group_E,1,1,2
Albania,Moldova,UEFA_Euro_2024_qualifying_Group_E,2,0,2
Albania,Faroe Islands,UEFA_Euro_2024_qualifying_Group_E,0,0,0
Czech Republic,Moldova,UEFA_Euro_2024_qualifying_Group_E,3,0,3
Albania,Czech Republic,UEFA_Euro_2024_qualifying_Group_E,3,0,3
Poland,Czech Republic,UEFA_Euro_2024_qualifying_Group_E,1,1,2
Albania,Poland,UEFA_Euro_2024_qualifying_Group_E,2,0,2
Poland,Faroe Islands,UEFA_Euro_2024_qualifying_Group_E,2,0,2
Czech Republic,Poland,UEFA_Euro_2024_qualifying_Group_E,3,1,4
Czech Republic,Albania,UEFA_Euro_2024_qualifying_Group_E,1,1,2
Moldova,Poland,UEFA_Euro_2024_qualifying_Group_E,3,2,5
Faroe Islands,Albania,UEFA_Euro_2024_qualifying_Group_E,1,3,4
Faroe Islands,Czech Republic,UEFA_Euro_2024_qualifying_Group_E,0,3,3
Poland,Albania,UEFA_Euro_2024_qualifying_Group_E,1,0,1
Moldova,Czech Republic,UEFA_Euro_2024_qualifying_Group_E,0,0,0
Moldova,Faroe Islands,UEFA_Euro_2024_qualifying_Group_E,1,1,2
Faroe Islands,Moldova,UEFA_Euro_2024_qualifying_Group_E,0,1,1
Azerbaijan,Sweden,UEFA_Euro_2024_qualifying_Group_F,3,0,3
Belgium,Sweden,UEFA_Euro_2024_qualifying_Group_F,1,12,13
Azerbaijan,Austria,UEFA_Euro_2024_qualifying_Group_F,0,1,1
Belgium,Estonia,UEFA_Euro_2024_qualifying_Group_F,5,0,5
Estonia,Azerbaijan,UEFA_Euro_2024_qualifying_Group_F,0,2,2
Sweden,Austria,UEFA_Euro_2024_qualifying_Group_F,1,3,4
Estonia,Austria,UEFA_Euro_2024_qualifying_Group_F,0,2,2
Austria,Belgium,UEFA_Euro_2024_qualifying_Group_F,2,3,5
Belgium,Azerbaijan,UEFA_Euro_2024_qualifying_Group_F,5,0,5
Belgium,Austria,UEFA_Euro_2024_qualifying_Group_F,1,1,2
Azerbaijan,Belgium,UEFA_Euro_2024_qualifying_Group_F,0,1,1
Estonia,Belgium,UEFA_Euro_2024_qualifying_Group_F,0,3,3
Austria,Sweden,UEFA_Euro_2024_qualifying_Group_F,2,0,2
Azerbaijan,Estonia,UEFA_Euro_2024_qualifying_Group_F,1,1,2
Sweden,Azerbaijan,UEFA_Euro_2024_qualifying_Group_F,5,0,5
Austria,Estonia,UEFA_Euro_2024_qualifying_Group_F,2,1,3
Sweden,Belgium,UEFA_Euro_2024_qualifying_Group_F,0,3,3
Austria,Azerbaijan,UEFA_Euro_2024_qualifying_Group_F,4,1,5
Sweden,Estonia,UEFA_Euro_2024_qualifying_Group_F,2,0,2
Estonia,Sweden,UEFA_Euro_2024_qualifying_Group_F,0,5,5
Bulgaria,Montenegro,UEFA_Euro_2024_qualifying_Group_G,0,1,1
Serbia,Lithuania,UEFA_Euro_2024_qualifying_Group_G,2,0,2
Serbia,Bulgaria,UEFA_Euro_2024_qualifying_Group_G,2,2,4
Hungary,Montenegro,UEFA_Euro_2024_qualifying_Group_G,3,1,4
Bulgaria,Hungary,UEFA_Euro_2024_qualifying_Group_G,2,2,4
Serbia,Montenegro,UEFA_Euro_2024_qualifying_Group_G,3,1,4
Lithuania,Hungary,UEFA_Euro_2024_qualifying_Group_G,2,2,4
Hungary,Serbia,UEFA_Euro_2024_qualifying_Group_G,2,1,3
Bulgaria,Lithuania,UEFA_Euro_2024_qualifying_Group_G,0,2,2
Lithuania,Serbia,UEFA_Euro_2024_qualifying_Group_G,1,3,4
Montenegro,Lithuania,UEFA_Euro_2024_qualifying_Group_G,2,0,2
Serbia,Hungary,UEFA_Euro_2024_qualifying_Group_G,1,2,3
Lithuania,Montenegro,UEFA_Euro_2024_qualifying_Group_G,2,2,4
Hungary,Lithuania,UEFA_Euro_2024_qualifying_Group_G,2,0,2
Bulgaria,Serbia,UEFA_Euro_2024_qualifying_Group_G,1,1,2
Montenegro,Hungary,UEFA_Euro_2024_qualifying_Group_G,0,0,0
Lithuania,Bulgaria,UEFA_Euro_2024_qualifying_Group_G,1,1,2
Montenegro,Serbia,UEFA_Euro_2024_qualifying_Group_G,0,2,2
Hungary,Bulgaria,UEFA_Euro_2024_qualifying_Group_G,3,0,3
Montenegro,Bulgaria,UEFA_Euro_2024_qualifying_Group_G,2,1,3
Finland,Denmark,UEFA_Euro_2024_qualifying_Group_H,0,1,1
San Marino,Slovenia,UEFA_Euro_2024_qualifying_Group_H,0,4,4
Northern Ireland,San Marino,UEFA_Euro_2024_qualifying_Group_H,3,0,3
Slovenia,Finland,UEFA_Euro_2024_qualifying_Group_H,3,0,3
Denmark,Kazakhstan,UEFA_Euro_2024_qualifying_Group_H,3,1,4
Finland,Kazakhstan,UEFA_Euro_2024_qualifying_Group_H,1,2,3
Finland,Northern Ireland,UEFA_Euro_2024_qualifying_Group_H,4,0,4
San Marino,Denmark,UEFA_Euro_2024_qualifying_Group_H,1,2,3
Kazakhstan,San Marino,UEFA_Euro_2024_qualifying_Group_H,3,1,4
Denmark,Slovenia,UEFA_Euro_2024_qualifying_Group_H,2,1,3
Northern Ireland,Denmark,UEFA_Euro_2024_qualifying_Group_H,2,0,2
Kazakhstan,Northern Ireland,UEFA_Euro_2024_qualifying_Group_H,1,0,1
Northern Ireland,Slovenia,UEFA_Euro_2024_qualifying_Group_H,0,1,1
Slovenia,Northern Ireland,UEFA_Euro_2024_qualifying_Group_H,4,2,6
San Marino,Finland,UEFA_Euro_2024_qualifying_Group_H,1,2,3
Kazakhstan,Finland,UEFA_Euro_2024_qualifying_Group_H,0,1,1
Denmark,San Marino,UEFA_Euro_2024_qualifying_Group_H,4,0,4
Denmark,Finland,UEFA_Euro_2024_qualifying_Group_H,3,1,4
San Marino,Northern Ireland,UEFA_Euro_2024_qualifying_Group_H,0,2,2
Kazakhstan,Denmark,UEFA_Euro_2024_qualifying_Group_H,3,2,5
Slovenia,Kazakhstan,UEFA_Euro_2024_qualifying_Group_H,2,1,3
Slovenia,San Marino,UEFA_Euro_2024_qualifying_Group_H,2,0,2
Kazakhstan,Slovenia,UEFA_Euro_2024_qualifying_Group_H,1,2,3
Finland,Slovenia,UEFA_Euro_2024_qualifying_Group_H,2,0,2
Denmark,Northern Ireland,UEFA_Euro_2024_qualifying_Group_H,1,0,1
San Marino,Kazakhstan,UEFA_Euro_2024_qualifying_Group_H,0,3,3
Finland,San Marino,UEFA_Euro_2024_qualifying_Group_H,6,0,6
